Collection_Head,Name,Text,Year,Start,End,Loc,Page_drawer,Drawer_No,Link,Coll_head,Collection,Author_Identity,Country,Continent
Reynolds Family,Reynolds Family,"Reynolds Familye  Papers, 1960-1969.  iteme  Compilation of biographical and genealogical information about NeCe tobacco magnate Re Je Reynolds, and his family, including information about some of the companies and foundations associated with theme  1. Reynolds, Re Je (Richard Joshua), 1859-1918. Ie Place: North Carolina-—- Forsyth County--Winston—-Saleme  01 JUN 87",1960-1969,1960,1969,Forsyth County,805,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n805,1,11249,Org.,USA,North America
"Rhea, J. Hoy","Rhea, J. Hoy","Rhea, Je He» 1827-1896.  Diary and memorandum book, 1857-1866. 2 1 iteme ' Clergyman of the Methodist Episcopal Church, South, and later of the Methodist Episcopal Church and school teacher active in Arkansas, Missouri, Iowa, and [llinois; full names James Harris Rheae  Volume (cae 190 pe) contaning Rhea's diary (1859, Octe 19 -1862 Octe 9 and 1865, Octe 1 —- Dece 31), and memoranda, 1859-1866, including genealogy, personal and church financial data, baptisms, deaths, marriages, etce Records his activities as clergyman and occasionally as a teacher at Springfield, @*.: 1859-1861, Fairfield Uni versity and Fairfield,  12 FEB 88 17469166 NDHYme SEE NEXT CRD",1827-1896,1827,1896,"South, Arkansas, Missouri, Iowa, Springfield, Fairfield",806,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n806,1,11250,Unknown,USA,North America
"Rhea, Je Hes","Rhea, Je Hes","Rhea, Je Hes 1827-1896.  Diary and memorandum book, eee  (Card 3)  1. Methodist Episcopal Church, South --Clergy 2+ Methodist Episcopal Church --Clergy 3. Fairfield University (Fairfield, Iowa) 4e Iowa Wesleyan College (Mte Pleasant, Iowa) Se Teachers 66 Christian communities 7. Missouri--History—-—-Civil War, i186i- 1865 8. Springfield (Moe )--History 9. Missouri--Description and travel 10. Arkansas--Description and travel 11. Fairfield (Iowa )-—-History 12. Macomb ( Ille )—-—History Ie We Ao Shackelford and Coe (Springfield, Moe )  12 FEB 88 17469166 NDHYme",1827-1896,1827,1896,"Fairfield, Iowa, Missouri, Springfield, Arkansas",808,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n808,1,11251,Unknown,USA,North America
"Rhett, Robert Barnwell","Rhett, Robert Barnwell","Rhett, Robert Barnwell Papers, 1838-1874 Charleston, Charleston Co., S. C.  Sectior A 6 items and 1 vol.  11-5-33 Recatalogued, 6-3-66  (See also bound vol. cards)",1838-1874,1838,1874,Charleston,809,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n809,1,11252,Male,USA,North America
"Rhett, Robert Barnwell","Rhett, Robert Barnwell","L.- 6746 Rhett, Robert Barnwell  Plantation Account Book, 1853-1874  Charleston, Charleston County, South Carolina  112 pages Leather and Boards 32 x 21 cm.  10-1-62 Recatalogued, 6-3-66",1853-1874,1853,1874,"Charleston, Charleston County, South Carolina",815,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n815,1,11253,Male,USA,North America
"Rhine, Louisa E.","Rhine, Louisa E.","Rhine, Louisa Ee, 1891-1983.  Papers, 1890-1983.  3800 itemse  Access restrictede  Scientist, PheDe from University of Chicagoe Worked with her husband Joseph Banks Rhine in parapsychology fields Published several works on the topice  Diaries and journals, correspondence, writings, genealogical papers, notebooks, photographs, and other paperse The bulk of the papers consist of personal and some business correspondence, including letters from persons relating psychic experiencesSe Personal corr espondence includes letters from @ in: Rhine children, Mrse Rhine's  mother, Louisa (Long) 12. MAY 87 15672068 NDHYme SEE NEXT CRD",1891-1983,1891,1983,,816,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n816,1,11254,Female,Unknown,Unknown
"Rhodes, H. I.","Rhodes, H. I.","L- 3483  gE Yreasure Room e 63 ow a  Rhodes, H. I. Memorandum book. 1845-56  Leesburg, Virginia  NOV5 1993  5",1845-56,1845,1856,"Leesburg, Virginia",822,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n822,1,11257,Unknown,USA,North America
"Rhodes, Lieutenant","Rhodes, Lieutenant","L- #4s2 115 Rhodes, Lieutenant H. H. MmscaT ©  Navy Agent Accounts. 1819-1822 Norfolk, Virginia. Nov 5 1933",1819-1822,1819,1822,"Norfolk, Virginia",823,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n823,1,11258,Male,USA,North America
"Rhodes, James","Rhodes, James","Rhodes, James Papers, 1849-1866 Clarke County, Alabama Cab, 4 10 items and 1 vol.  Recataloged, 12-22-67",1849-1866,1849,1866,Clarke County,826,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n826,1,11260,Male,USA,North America
"Rhodes, James","Rhodes, James","Rhodes, James Ford  Papers, 1911-1919  k-¢ Beaton A Mass, me  Séction A  MAY 9 4g  GUIDE ss  52 items",1911-1919,1911,1919,,830,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n830,1,11261,Male,Unknown,Unknown
"Rhodes, Melchi","Rhodes, Melchi","Rhodes, Melchi Papers, 1797-1902 Lincoln County, North Carolina  17-E 2 items & 1 vol, 1-12-54 Recataloged, 7-24-78",1797-1902,1797,1902,"Lincoln County, North Carolina",834,211,https://archive.org/details/rubensteinmanuscriptcatalog_Pul_to_Rh/page/n834,1,11262,Male,USA,North America
"Rice, Charles","Rice, Charles","e F3:3454 Rice, Charles He Tapers 1859-1861. Ve General merchant of Ridgeville (Colleton Coe)s SeCe Collection consists of Rice's account book, containing accounts and also newspaper clippingse Some clippings are on Mother Teresa Barry of Charleston, SeCey and General Wade Hamptone Cataloged from Guidee  *lcos  26 MAR 97 36635521 NDHYme",1859-1861,1859,1861,"Ridgeville, Charleston",0,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n0,1,11264,Male,USA,North America
"Rice, Clarke","Rice, Clarke","Rice, Clarke ,  Papers, 1825-67  Sebewa, Ionia Co., Michigan Section A 2-30-57  GUIDE  28 items",1825-67,1825,1867,,1,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n1,1,11265,Male,Unknown,Unknown
"Rice, H. A.","Rice, H. A.","Rice, He Ae  Letters, 1825-1867.  28 itemse  Soldier during Civil Ware  Correspondence chiefly from He Ae Rice, stationed in Kentucky during Civil Ware Also includes earlier family letters from Ionia County, Miche  Unprocessed collectione Cataloged from accession recorde  * pj  p  ie Soldiers--Correspondencee 2e United States-—-History--Civil War, 1861-1865-e 3. Kentucky—-—-History—-Civil War, 1861-1865e 4. Ionia County  (Miche )e -  06 JUN 95 32604585 NDHYme",1825-1867,1825,1867,"Kentucky, Civil Ware, Ionia County, Miche",4,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n4,1,11266,Male,USA,North America
"Rice, James Henry","Rice, James Henry","Rice, James Henry, Jr. Papers, 1885 (1910-1935) 1935 Wiggins, Colleton Co., South Carolina as 13,581 items  11-14-58  (Entered in the National Union Catalog of  as James Henry Rice Papers)",1910-1935,1910,1935,South Carolina,5,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n5,1,11267,Male,USA,North America
"Rice, William","Rice, William","34SS - 3457 Rice, William esse Account Books, 1815-1825 Brunswick County, Va.  3 vols,  (See following cards for seperate items]  NOV 9 1940 fe)",1815-1825,1815,1825,"Brunswick County, Va.",84,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n84,1,11268,Male,USA,North America
"Rice, William","Rice, William","Rice, William  Account Book. 1815-1816, Brunswick [County, Va.]  240 pp. Boards. 33 x 21 cn.  AUG 3 0 {949",1815-1816,1815,1816,"[County, Va.",85,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n85,1,11269,Male,USA,North America
"Rice, William","Rice, William",": Rice, William  Account Book. 1822-1824. {Brunswick County, Va.] 8 pp. Boards. 32 x 20 cm,  AUG 30 1940",1822-1824,1822,1824,"Brunswick County, Va.",86,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n86,1,11270,Male,USA,North America
"Richards, Abraham","Richards, Abraham","Richards, Abraham Papers, 1841-1846 New York, N. Y. Section A 5 items  12-28-59",1841-1846,1841,1846,New York,91,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n91,1,11274,Male,USA,North America
"Richards, William T.","Richards, William T.","Richards, William Te  Papers, 1788-1823 (bulk 1845-1903).  cae 342 itemse  Merchant in Augusta, Gae  Chiefly correspondence of William Te Richards and his family and friendse Richards was a New England native, and three early letters from the 1840s are from a sister in Danbury; Conne One letter from Chattooga County, Gae (1865 Auge 31) speaks of devastation of Civil War in that areae Also includes a bill of goods bought in New York, NeYe in October, 18653; invitations; announcements; and clippings which relate to William Hill, once Secretary of State for NeCe One item is an announcement @-:: William Te Richard's ret irement as treasurer  28 JUN 95 32720135 NDHYme SEE NEXT CRD",1788-1823,1788,1823,"Augusta, New England, Chattooga County, New York, NeYe",93,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n93,1,11275,Male,USA,North America
"Richardson, Sir Benjamin Ward","Richardson, Sir Benjamin Ward","Richardson, Sir Benjamin Ward (1828-1896).  Papers, 1867~+1893 London, Middlesex, England  Josiah C. Trent Collection in the History of Medicine--. Div.  4~8-60  l item. 6 items added 6-1-66",1828-1896,1828,1896,"London, Middlesex",96,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n96,1,11276,Male,USA,North America
"Richardson, Davis","Richardson, Davis","Richardson, Davis  Papers, 1720-1885  Frederick, Frederick Co., Md.  12-¢ 1657 10 1-7-55 29  25  items  items added, 9-26-58 items and 2 vols. added, 6-19-62  items added, 11-21-69",1720-1885,1720,1885,"Frederick, Md.",98,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n98,1,11277,Male,USA,North America
"Richardson, J. W. & Co","Richardson, J. W. & Co","Richardson, J. W. & Co. L- 3458 Daybook, 1868-1869 _— Fifesville, Goochland Co., Virginia  100 pp. Boards 30x16 cm.  Merchant's account book.  7-8-41",1868-1869,1868,1869,Virginia,109,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n109,1,11279,Org.,USA,North America
"Richardson, Jacob","Richardson, Jacob","Richardson, Jacobe  Letters, [ 1852? ]-1861.-  4 itemse  Resident of Boston, Masse  Correspondence from Massachusetts chiefly referring to politics and secessione  Unprocessed collectione Cataloged sane accession recorde  Pp PJ:  le Secessione 2e¢ Massachusetts-——- History--Civil War, 1861-1865« 36 Massachusetts--Politics and governmente 4e United States--History--Civil War,  1861-1865. 4  28 JUN 95 32720122 NDHYme",1861-1865,1861,1865,"Masse, Massachusetts, 4e United States",110,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n110,1,11280,Male,USA,North America
"Richardson, James Burchell","Richardson, James Burchell","Richardson, James Burchell Letters and Papers, 1803-1910  Clarendon County, S.C.  4109 pieces 1 piece added  6-14-39 SEE SHELF List",1803-1910,1803,1910,"Clarendon County, S.C.",111,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n111,1,11281,Male,USA,North America
"Richardson, John A","Richardson, John A","Richardson, John A. Album, 1864-1868  Transferred to Duke University Archives as part of:  Trinity College. Randolph County, N. C. Papers",1864-1868,1864,1868,Randolph County,123,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n123,1,11282,Male,USA,North America
"Richardson, Marion","Richardson, Marion","Richardson, . Marion. Morgane Autograph album, 1895-1898 (bulk 1895 )e 1 ve (56 Pede Student at Southern Home School for Girls, Baltimore, Mde Includes addresses; autographs, amusing messages; and numerous drawings by students at a private girls! schoole Depicts students, staif,y rooms in the school, and a local Presbyterian minister, Dre William Ue Murklande Students include Mabel Duke, daughter of Brodie Le Dukee  NcD 31 AUG 90 a ®, NDHYme SEE NEXT CRD",1895-1898,1895,1898,Baltimore,124,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n124,1,11283,Female,USA,North America
"Richardson, Virginia","Richardson, Virginia","Richardson, Virginiae  Virginia and Bettie Richardson Letters, 1845-1872.  35 itemse  Charlotte Court House (Charlotte Coe), Vae resident.  Collection contains family and personal letterse Topics include the  experiences of a clerk in a Richmond grocery store and those of a postwar school teacher e  Cataloged from Guidee  *lces  Ie Richardson, Bettiee  26 MAR 97 36635558 NDHYme",1845-1872,1845,1872,"Virginiae, Virginia, Richmond",126,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n126,1,11284,Female,USA,North America
"Richardson, William A. B.","Richardson, William A. B.","Richardson, William A, B. Papers, 1825 (1850-1860) 1869 Johnston County, N, C.  Section A 11-5-33 11 items 12-17-34 5 u added",1850-1860,1850,1860,Johnston County,127,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n127,1,11285,Male,USA,North America
"Richey, J. Augustus","Richey, J. Augustus","Richey, J. Augustus Papers, 1860-63  Savannah, Chatham co., Georgia  Section A 11-24-51 26 items  GUIDE",1860-63,1860,1863,"Savannah, Georgia",130,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n130,1,11287,Unknown,USA,North America
Richmond and Danville Railroad Company,Richmond and Danville Railroad Company,"Richmond and Danville Railroad Companye  age book, 1897-1909.  Ve  Stem (Granville Coe), NeCe railroad company.  Volume contains records of rents collected from tenants in houses owned by the railroade  Cataloged from Guidee  *lces  24 FEB 97 36437756 NDHYme",1897-1909,1897,1909,Richmond,133,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n133,1,11289,Org.,USA,North America
Richmond and Petersburg Railroad Company,Richmond and Petersburg Railroad Company,"Richmond and Petersburg Railroad Companye  Journal, . 1865-1870.  1 item (688 pe )e  Established in 1836- Became Atlantic Coast Line Railroad in. 1900-e Part of the Seaboard Coast Line Railroade  Accounting journal entries, 1865 July - 1870 May, recording the railroad's business with detailed financial entries and explanatory notese Includes income, expenses, officers, employees, individuals and companies from whom goods and services were procured, finance, equipment, facilities, bridges, accidents, maintenance, and rolling stocke  06 FEB 89 19105543 NDHYme SEE. NEXT CRD",1865-1870,1865,1870,Richmond,134,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n134,1,11290,Org.,USA,North America
Richmond County,Richmond County,"Richmond County (Gace )e  ore register, 1820-1821.  Ve  Contains sworn statements of those importing slaves into the state of Georgia between December, 1820 and October, 182164  * pJj  PJ  le Slavery--Georgiae 2+« Richmond County (Gae )—-—-Historye 3e Richmond County (Gae)e 4c Slave trade--United Stat es--—Historye  28 JUN 95 32720237 NDHYme",1820-1821,1820,1821,"Richmond County, Georgia",137,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n137,1,11293,Org.,USA,North America
"Richmond, Dock Company","Richmond, Dock Company","Richmond Dock Company. Richmond, Virginia  Papers. 1818-1831. Richmond, Virginia  Séction A  June 14, 1939.",1818-1831,1818,1831,"Richmond, Virginia",138,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n138,1,11294,Org.,USA,North America
"Richmond, Fredericksburg, and Potomac Railroad Company","Richmond, Fredericksburg, and Potomac Railroad Company","Richmond, Fredericksburg, and Potomac Railroad Company q  Papers, 1863-1864  Richmond, Va. Section A  4-11-61",1863-1864,1863,1864,Richmond,140,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n140,1,11295,Org.,USA,North America
"Richmond, J. W.","Richmond, J. W.","Richmond, Je We  Letters, 1837-1838.  2 itemse  Resident of Providence, Rele  Two letters to Richmond which give information on the steamer Kingston and its passenger tradee  Unprocessed coltlectione Cataloged from accession recorde  * pJ  pJ  ie Kingston (Ship)e 2e Providence (Rele )-—-Historye 3c Steamboats--United States-—-History--19th centurye 4e Steam—-navi gation--United States-—- History--19th centurye  28 JUN 935 32720112 NDHYme",1837-1838,1837,1838,"Richmond, Kingston",142,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n142,1,11296,Unknown,USA,North America
"Richter, Jean Paul","Richter, Jean Paul","Richter, Jean Paul, 1847-1937-  Diaries, 1873-1932.  48 Ve  Art historiane  Diaries and notebooks kept by Jean Paul Richter and his wife, Luise Marie Richtere Many of these volumes were kept during travels in Italye Topics chiefly cover Jean Paul Richter's work in the field of art history and criticism, particularly of Italian art3 the Bibliotheca Hertziana, with which Jean Paul Richter was associated; and purchases of art works by the Richterse There are also many references to other scholars, including the couple's daughters, Gi sela, an archaeologis @ and Irma, an art historian als Oe One of the  28 JUN 95 32720087 NDHYme SEE NEXT CRD",1847-1937,1847,1937,Italye Topics,143,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n143,1,11297,Male,USA,North America
"Ricketts, George","Ricketts, George","Ricketts, George Papers, 1837-1892 Elkton, Cecil County, Maryland  22=I1 229 items  6--62",1837-1892,1837,1892,"Cecil County, Maryland",147,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n147,1,11299,Male,USA,North America
"Ricord, Philippe","Ricord, Philippe","Ricord, Philippe (1800-1889). Papers, n. d. n. p.  Josiah C. Trent Collection in the 2 items. History of Medicine--. Div.  4-8-60",1800-1889,1800,1889,Ricord,150,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n150,1,11300,Male,USA,North America
"Riddell, Ettie Crystal","Riddell, Ettie Crystal","e 2nd 67: A,  2nd 54:C (96-113), 6th 242A (97-110, 9 Riddell, Ettie Crystal, 1878-1968- Papers, [1890?]-1968 and nede 2733 itemse Active in imate ee of Christ in Tennessee, Pennsylvania, and other statese Husband, Louis Riddell,» was a Disciples of Christ ministere Correspondence, diaries, scrapbooks, photographs, a notebook of sermons, and other materials relating to Riddell's involvement with the Disciples of Christe Unprocessed collectione Cataloged from accession recordse  *pJj  22 JAN 98 38247428 NDHYme SEE NEXT CRD",1878-1968,1878,1968,"Tennessee, Pennsylvania, Husband",151,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n151,1,11301,Female,USA,North America
"Riddick, Floyd Millard","Riddick, Floyd Millard","Ne 2nd 54:D (96-115), 672A, 92SA-By OCSIIIt1, Ovsze si aes ane Floyd Millard, 1908- ers, 1928-1995 and nede 19 50 itemse UeSe Senate Parliamentariane The Floyd Millard Riddick Papers, 1928-1995, (bulk 1950-1983), consist of correspondence, writings and speeches, printed material, senate documents,  photographs, and organizational papers  documenting Riddick's career as the Assistant Parliamentarian, Parliamentarian, and Parliamentarian Emeritus of the United States Senatee The Correspondence series includes correspondence to and from Senators, Presidents, a nd other political figures conce @ raing the rules and procedures of the United States  30 OCT 97 37869986 NDHYme SEE NEXT CRD",1928-1995,1928,1995,the United States,156,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n156,1,11304,Male,USA,North America
"Riddick, James A.","Riddick, James A.","Riddick, James A Letters. 1851-1870.  Brunswick County, Virginia and Johnson's Island, Sandusky, Ohio  - Section A 20 pieces Se 1940: "" added  2 IH vv me Ss",1851-1870,1851,1870,"Brunswick County, Virginia, Sandusky, Ohio",174,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n174,1,11305,Male,USA,North America
"Riddick, Nathaniel","Riddick, Nathaniel","e F:5970 Riddick, Nathaniele al 1851-1882. Ve Suffolk (Nansemond Coe), Vae residente Volume contains personal accountse Sco eee from Guidee cs  24 FEB 97 36437669 NDHYme",1851-1882,1851,1882,Ve Suffolk,176,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n176,1,11306,Male,USA,North America
"Riddick, Richard H.","Riddick, Richard H.","Riddick, Richard H, Letters and Papers. 1840-1879.  Pantego, Beaufort Co., North Carolina.  1 box, Cab. 2%. 94  66 pieces  aon 70 "" added. GUID 272 items addea 9-15-50 Mar. 24, 1934. FD §  Avs 11 1939  SEP 15 50 =",1840-1879,1840,1879,North Carolina,177,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n177,1,11307,Male,USA,North America
"Riddick, Richard H.","Riddick, Richard H.","Treasure Noon,  RIDDICK,Richard H Account Book 1859-1861 Pantego Beaufort co.N.C. 90 pp Celf 14 x 8 cm.  {Sundry accounts. ]  MAR 17 1939",1859-1861,1859,1861,,180,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n180,1,11308,Male,Unknown,Unknown
"Riddick, W. D","Riddick, W. D","5968-5969 Vena  Riddick, W. D. and E. Ketan Ledgers, 1847-1852 Suffolk, Nansemond Co., Va.  8-6-58 2 vols.  (See also bound vol. cards)",1847-1852,1847,1852,"Suffolk, Va.",181,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n181,1,11309,Male,USA,North America
"Riddick, W. D. And E. W.","Riddick, W. D. And E. W.","Riddick, W. D. and E, W.  Ledger, 1847-1852  Suffolk, Nansemond Co., Va. 1350 pp. Leather 564 x 21 1-2 cm. 8-6-58  GUIDE",1847-1852,1847,1852,"Suffolk, Va.",182,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n182,1,11310,Male,USA,North America
"Riddick, W. D. And E. W.","Riddick, W. D. And E. W.","Riddick, W. D. and E. W.  Ledger, 1848-1852  Suffolk, Nansemond Co., Va. 426 pp. Leather 34 x 21 1-2 cm. 8-6-58  rey TTT  La see AL",1848-1852,1848,1852,Suffolk,183,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n183,1,11311,Male,USA,North America
"Riddle, James N.","Riddle, James N.","Riddle, James N, Papers, 1851-1864 Martinetire s 2, aie  Section A  ""7 YITNT?  : rN T Sut if yt  [Q-b- #7",1851-1864,1851,1864,,184,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n184,1,11312,Male,Unknown,Unknown
"Riddleberger, Harrison Holt Pa","Riddleberger, Harrison Holt Pa","Riddleberger, Harrison Holt Papers, 1874-1891 Woodstock, Va.  Cab. 12 557 items  Now at Wm. and Mary College--1950",1874-1891,1874,1891,"Woodstock, Va., Cab",187,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n187,1,11313,Male,USA,North America
Ridgeley Family,Ridgeley Family,"Ridgeley Family Recon Papers, 1793-1817 ve. p. in Anne Arundel County, Maryland Section A 8 items  8-7-67",1793-1817,1793,1817,"Anne Arundel County, Maryland",191,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n191,1,11316,Org.,USA,North America
Ridzeley Family Z,Ridzeley Family Z,"Ridzeley Family z writs issued during his term of office.  Richard Ridgeley (1755-1824), a member of the Continental Congress from Maryland, writes, n. de, of a legal matter.",1755-1824,1755,1824,Maryland,193,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n193,1,11317,Org.,USA,North America
"Ridlon, John","Ridlon, John","Ridlon, John, 1852-1936  Papers, Varying dates  Josiah C. Trent Collection in the History of Medicine--MS. Div.  6-10-63",1852-1936,1852,1936,,200,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n200,1,11321,Male,Unknown,Unknown
"Riess, Kurt","Riess, Kurt","Riess, Kurt  Papers, 1904-1933  Germany  Sectien A  7-19-76",1904-1933,1904,1933,Germany,201,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n201,1,11322,Male,Germany,Europe
"Riggs, Philip D.","Riggs, Philip D.","Riggs, Philip D.  Papers, 1862(1863-1865)1870  Carthage, Athens Co., Ohio  Section A 37 items  10-2-57  GUIDE",1863-1865,1863,1865,Ohio,204,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n204,1,11324,Male,USA,North America
Riggs Family,Riggs Family,"Riggs Family  Papers, 1839-1933  Washington, D.C. 14-G 330 items 2-28-71",1839-1933,1839,1933,"Washington, D.C.",210,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n210,1,11325,Org.,USA,North America
"Rigsbee, Atlas M.","Rigsbee, Atlas M.","Rigsbee, Atlas M.  Account Books, 1859-1905  Durham, Durham County, North Carolina 30-F 60 vols. 2-7-66",1859-1905,1859,1905,"Durham County, North Carolina",222,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n222,1,11327,Male,USA,North America
"Rigsbee, Atlas M.","Rigsbee, Atlas M.","Rigsbee,  Atlas M.     RG  RG  RG  Ledger Ledger Ledger Ledger  Ledger  Cy Dy Ey F,  Gy     1862-1876  1873-1876  1876 1876-1878  1877-1879",1862-1876,1862,1876,,232,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n232,1,11328,Male,Unknown,Unknown
"Rigsbee, Atlas M.","Rigsbee, Atlas M.","Rigsbee, Atlas M.  RG Ledger E, 1882-1883 15  RG Ledger F, 1884  16  RG 1885  i?  RG ds 1886-1888 18  RG s 1889-1890  19 @",1882-1883,1882,1883,,234,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n234,1,11329,Male,Unknown,Unknown
"Riis, Jacob August","Riis, Jacob August","Riis, Jacob August Papers, 1900-1910  New York, N. Y.  Section A  1-31-73  52 items",1900-1910,1900,1910,New York,243,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n243,1,11330,Male,USA,North America
"Ringgold, Elizabeth .","Ringgold, Elizabeth .","Ringgold, Elizabeth.  Diaries, 1910-1924.  4 volumes.  Chronicle of routine farm acivities in rural northeastern Oklahomae Daily entries document family and social life and more broadly thse effects of World War I, the intrusion of the oil industry, and routine socialist and Ku Klux Klan activitiese  i. Farm Life-—-Oklahoma-—-Historye 2-2 Rural women--Oklahoma--Historye 3-e Rural women--Social Life and customse 4. Oklahoma--History. 5-6 Genre: Diaries--Womene. 6. Ku Klux Klan (1915- )--Oklahomae 7. Oil Industries --OklLahoma--H istory>» 8. World War, 1914-1918. 1@.: Place: Oklahomae  20 JAN 88 17364064 NDHYme",1910-1924,1910,1924,Oklahoma,257,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n257,1,11333,Female,USA,North America
"Rinker, Ella V. and Reuben E. Hammon","Rinker, Ella V. and Reuben E. Hammon","Rinker, Ella V. and Reuben E. Hammon  Pepers, 1841-1871  rince eh co. Mount 9teeret “Va.  Section: A 94 items  DEC & “46",1841-1871,1841,1871,,258,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n258,1,11334,Org.,Unknown,Unknown
"Ripley, Valentine","Ripley, Valentine","Ripley, Valentine Papers, 1859-1875 Hendersonville, Henderson County, N.C.  1 vol.",1859-1875,1859,1875,"Hendersonville, Henderson County, N.C.",267,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n267,1,11337,Female,USA,North America
"Ripley, Valentine","Ripley, Valentine","Ripley, Valentine     Rutledge, Pool, & Ripley Receipt Book, 1859-1864* Hendersonville, North Carolina  *Volume also includes reading notes from 1875.  1-7-84",1859-1864,1859,1864,"Hendersonville, North Carolina",271,212,https://archive.org/details/rubensteinmanuscriptcatalog_Ri_to_Rooj/page/n271,1,11338,Female,USA,North America
